title,release_year,rating,num_seasons,is_mature,genre_count,binge_score
Paranormal Survivor,2016,TV-14,2,0,1,1.3
Parks and Recreation,2015,TV-14,7,0,1,3.8
Pasión de Gavilanes,2003,TV-14,1,0,3,1.4
Pawn Stars,2010,TV-14,1,0,1,0.8
Pee-wee's Playhouse,1990,TV-PG,5,0,3,3.4
Penny Dreadful,2016,TV-MA,3,1,3,2.6
Person of Interest,2016,TV-14,5,0,3,3.4
Pioneers of African-American Cinema,1946,TV-14,1,0,1,0.8
Planet Earth II,2016,TV-G,1,0,3,1.4
Planet Earth: The Complete Collection,2006,TV-PG,1,0,3,1.4
Portlandia,2018,TV-14,8,0,1,4.3
Powder,2010,TV-14,1,0,3,1.4
Power Battle Watch Car,2016,TV-Y7,1,0,2,1.1
Power Rangers Dino Charge,2015,TV-Y7,1,0,1,0.8
Power Rangers Dino Super Charge,2016,TV-Y7,1,0,1,0.8
Power Rangers Dino Thunder,2004,TV-Y7,1,0,1,0.8
Power Rangers in Space,1998,TV-Y7,1,0,1,0.8
Power Rangers Jungle Fury,2008,TV-Y7,1,0,1,0.8
Power Rangers Lightspeed Rescue,2000,TV-Y7,1,0,1,0.8
Power Rangers Lost Galaxy,1999,TV-Y7,1,0,1,0.8
Power Rangers Mystic Force,2006,TV-Y7,1,0,1,0.8
Power Rangers Ninja Storm,2003,TV-Y7,1,0,1,0.8
Power Rangers Operation Overdrive,2007,TV-Y7,1,0,1,0.8
Power Rangers RPM,2009,TV-Y7,1,0,1,0.8
Power Rangers S.P.D.,2005,TV-Y7,1,0,1,0.8
Power Rangers Samurai,2011,TV-Y7,1,0,1,0.8
Power Rangers Super Megaforce,2014,TV-Y7,1,0,1,0.8
Power Rangers Super Samurai,2012,TV-Y7,1,0,1,0.8
Power Rangers Time Force,2001,TV-Y7,1,0,1,0.8
Power Rangers Turbo,1997,TV-Y7,1,0,1,0.8
Power Rangers Wild Force,2002,TV-Y7,1,0,1,0.8
Power Rangers Zeo,1996,TV-Y7,1,0,1,0.8
Power Rangers: Megaforce,2013,TV-Y7,1,0,1,0.8
Prince Jai Aur Dumdaar Viru,2017,TV-Y,1,0,2,1.1
Prohibition: A Film by Ken Burns and Lynn Novick,2011,TV-PG,1,0,2,1.1
Psiconautas,2016,TV-MA,2,1,3,2.1
Pyaar Tune Kya Kiya,2014,TV-14,3,0,3,2.4
Qué pena tu serie,2015,TV-MA,1,1,3,1.5999999999999999
Queen of No Marriage,2009,TV-MA,1,1,3,1.5999999999999999
Queens of Comedy,2017,TV-MA,1,1,3,1.5999999999999999
Queens vs. Kings,2018,TV-14,1,0,2,1.1
Rab Se Sohna Isshq,2012,TV-14,1,0,3,1.4
Ramayan,2012,TV-14,1,0,2,1.1
Razia Sultan,2015,TV-14,1,0,3,1.4
Reality of Dream,2015,TV-MA,1,1,3,1.5999999999999999
Rebelde,2004,TV-14,1,0,3,1.4
Rectify,2016,TV-MA,4,1,3,3.1
Red vs. Blue,2015,NR,13,0,3,7.4
Reggie Yates Outside Man,2017,TV-MA,2,1,3,2.1
Republic of Doyle,2014,TV-14,6,0,3,3.9
Revenge,2017,TV-MA,1,1,3,1.5999999999999999
Revolting Rhymes,2017,TV-PG,1,0,2,1.1
"Rica, Famosa, Latina",2016,TV-MA,4,1,3,3.1
Ripper Street,2017,TV-MA,5,1,3,3.6
Rishta.com,2010,TV-14,1,0,3,1.4
Robotech,1985,TV-MA,1,1,1,1.0
Roonpi Secret Love,2016,TV-14,3,0,3,2.4
Royal Pains,2016,TV-PG,8,0,2,4.6
Rubi,2004,TV-PG,1,0,3,1.4
Rurouni Kenshin,1998,TV-14,3,0,2,2.1
Russell Peters vs. the World,2013,NR,1,0,2,1.1
Sadqay Tumhare,2014,TV-PG,1,0,3,1.4
Satrangi,2014,TV-PG,1,0,2,1.1
Save Our Shelter,2015,TV-G,1,0,1,0.8
Scandal,2018,TV-14,7,0,2,4.1
Secret Affair,2014,TV-14,1,0,3,1.4
Sensitive Skin,2016,TV-MA,1,1,1,1.0
Servant of the People,2015,TV-14,1,0,2,1.1
Shadow of Truth,2016,TV-MA,1,1,3,1.5999999999999999
Shaka Zulu,1986,TV-14,1,0,1,0.8
Sherlock,2017,TV-14,4,0,3,2.9
Sid the Science Kid,2008,TV-Y,1,0,1,0.8
Silver Spoon,2015,TV-MA,2,1,3,2.1
Sin senos no hay paraíso,2008,TV-14,1,0,3,1.4
Sin Senos sí Hay Paraíso,2018,TV-MA,3,1,3,2.6
Skin Wars,2016,TV-14,3,0,1,1.8
Skin Wars: Fresh Paint,2016,TV-14,1,0,1,0.8
Slobby's World,2018,TV-MA,1,1,1,1.0
Sotus The Series,2016,TV-MA,1,1,3,1.5999999999999999
Space Racers,2014,TV-Y,1,0,1,0.8
Spartacus,2013,TV-MA,4,1,2,2.8000000000000003
Splash and Bubbles,2018,TV-Y,2,0,1,1.3
Star-Crossed,2014,TV-14,1,0,3,1.4
Station Horizon,2015,TV-MA,1,1,3,1.5999999999999999
Stoked,2010,TV-PG,1,0,1,0.8
Stone Age,2017,TV-Y7,1,0,2,1.1
Storage Wars: Northern Treasures,2015,TV-MA,1,1,2,1.3
Strawberry Shortcake: Berry Bitty Adventures,2015,TV-Y,1,0,1,0.8
Strong Girl Bong-soon,2017,TV-14,1,0,3,1.4
Strongland,2018,TV-PG,1,0,2,1.1
Suits,2018,TV-MA,1,1,3,1.5999999999999999
Super Bheem,2019,TV-Y,1,0,1,0.8
Super Wings,2020,TV-Y,3,0,2,2.1
SuperNature: Wild Flyers,2016,TV-PG,1,0,3,1.4
Surviving R. Kelly Part II: The Reckoning,2020,TV-MA,1,1,2,1.3
Swami Baba Ramdev: The Untold Story,2018,TV-14,1,0,2,1.1
Sym-Bionic Titan,2010,TV-PG,1,0,1,0.8
Taken,2018,TV-14,2,0,3,1.9
Tales of the City (1993),1993,TV-MA,1,1,1,1.0
Teresa,2010,TV-PG,1,0,3,1.4
Th Eena Meena Deeka Chase Comedy Show,2015,TV-Y7,1,0,2,1.1
Thackeray,2019,TV-MA,1,1,1,1.0
That '70s Show,2005,TV-14,8,0,1,4.3
The 2000s,2018,TV-MA,1,1,1,1.0
The Adjusters,2010,TV-PG,2,0,2,1.6
The Adventures of Figaro Pho,2015,TV-Y7,2,0,2,1.6
The Andy Griffith Show,1967,TV-G,8,0,2,4.6
The Apartment,2014,TV-PG,2,0,2,1.6
The Bachelor,2009,TV-14,1,0,2,1.1
The Beat,2012,TV-MA,1,1,2,1.3
The Beginning of Life: The Series,2016,TV-PG,1,0,3,1.4
The Bible's Buried Secrets,2011,TV-14,1,0,3,1.4
The Big Catch,2015,TV-PG,1,0,2,1.1
The Blue Planet: A Natural History of the Oceans,2001,TV-G,1,0,3,1.4
The Bomb Squad,2011,TV-MA,1,1,2,1.3
The Calling,2018,TV-MA,1,1,2,1.3
The Chefs' Line,2017,TV-14,1,0,2,1.1
The Code,2011,TV-PG,1,0,3,1.4
The Cravings,2016,TV-14,2,0,3,1.9
The Curse of Oak Island,2016,TV-PG,1,0,2,1.1
The Day My Butt Went Psycho!,2015,TV-Y7,2,0,2,1.6
The Devil Is a Part-Timer!,2013,TV-14,1,0,1,0.8
The Drunk and on Drugs Happy Funtime Hour,2011,TV-MA,1,1,2,1.3
The Eighties,2016,TV-PG,1,0,1,0.8
The Fear,2012,TV-MA,1,1,3,1.5999999999999999
The Five,2016,TV-MA,1,1,3,1.5999999999999999
The Fosters,2017,TV-14,5,0,1,2.8
The Furchester Hotel,2015,TV-Y,2,0,2,1.6
The Future of Water,2007,TV-PG,1,0,3,1.4
The Golden Years with Javed Akhtar,2016,TV-G,1,0,2,1.1
The Great British Baking Show: Masterclass,2018,TV-PG,4,0,2,2.6
The Great Train Robbery,2013,NR,1,0,3,1.4
The Guild,2013,TV-MA,1,1,1,1.0
The Homecoming,2015,TV-PG,1,0,3,1.4
The House That Made Me,2015,TV-PG,3,0,2,2.1
The Hunt,2015,TV-PG,1,0,3,1.4
The Inbetweeners,2010,TV-MA,3,1,2,2.3000000000000003
The Investigator: A British Crime Story,2018,TV-MA,2,1,3,2.1
The Irish Mob,2008,TV-MA,1,1,2,1.3
The Jaime Maussan Show,2010,TV-PG,1,0,3,1.4
