title,release_year,rating,num_seasons,is_mature,genre_count,binge_score
The Mess You Leave Behind,2020,TV-MA,1,1,3,1.5999999999999999
Alice in Borderland,2020,TV-MA,1,1,3,1.5999999999999999
Futmalls.com,2020,TV-14,1,0,3,1.4
Masameer Classics,2013,TV-14,4,0,2,2.6
Once Upon a Time,2019,TV-14,1,0,3,1.4
The Big Show Show,2020,TV-G,2,0,2,1.6
The Expanding Universe of Ashley Garcia,2020,TV-PG,3,0,3,2.4
The Surgeon's Cut,2020,TV-14,1,0,2,1.1
Juman,2019,TV-PG,1,0,3,1.4
Mr. Iglesias,2020,TV-14,3,0,2,2.1
100 Days My Prince,2018,TV-14,1,0,3,1.4
Manhunt: Deadly Games,2020,TV-14,1,0,3,1.4
Room 2806: The Accusation,2020,TV-MA,1,1,3,1.5999999999999999
Detention,2020,TV-MA,1,1,3,1.5999999999999999
Bhaag Beanie Bhaag,2020,TV-MA,1,1,3,1.5999999999999999
Big Mouth,2020,TV-MA,4,1,1,2.5
Kings of Jo'Burg,2020,TV-MA,1,1,3,1.5999999999999999
The Great British Baking Show: Holidays,2020,TV-MA,3,1,2,2.3000000000000003
Alien Worlds,2020,TV-PG,1,0,3,1.4
Check The Store Next Door: The Next Chapter,2020,TV-14,2,0,3,1.9
Are You The One,2014,TV-14,2,0,1,1.3
Gormiti,2018,TV-Y,1,0,1,0.8
Ink Master,2012,TV-14,2,0,1,1.3
Octonauts,2015,TV-Y,4,0,2,2.6
Oddbods,2017,TV-Y,1,0,2,1.1
Stargate SG-1,2006,TV-MA,10,1,3,6.1000000000000005
The Bachelorette,2010,TV-14,1,0,2,1.1
The Guest,2018,TV-14,1,0,3,1.4
The Holiday Movies That Made Us,2020,TV-PG,1,0,1,0.8
The Repair Shop,2018,TV-PG,1,0,2,1.1
The Uncanny Counter,2020,TV-14,1,0,3,1.4
Fabulous Lives of Bollywood Wives,2020,TV-MA,1,1,2,1.3
Heartbreak High,1999,TV-14,7,0,3,4.4
Over Christmas,2020,TV-MA,1,1,3,1.5999999999999999
Sugar Rush Christmas,2020,TV-14,2,0,1,1.3
Great Pretender,2020,TV-MA,2,1,3,2.1
Before 30,2015,TV-MA,1,1,3,1.5999999999999999
Valentino,2020,TV-14,1,0,3,1.4
Strongest Deliveryman,2017,TV-MA,1,1,3,1.5999999999999999
Flavorful Origins,2020,TV-G,3,0,2,2.1
Heart & Soul,2019,TV-14,1,0,2,1.1
Mismatched,2020,TV-MA,1,1,3,1.5999999999999999
Voices of Fire,2020,TV-PG,1,0,2,1.1
Holiday Home Makeover with Mr. Christmas,2020,TV-G,1,0,1,0.8
The Boss Baby: Back in Business,2020,TV-Y7,4,0,2,2.6
We Are the Champions,2020,TV-MA,1,1,2,1.3
America's Next Top Model,2013,TV-14,2,0,1,1.3
Beyblade Burst Rise,2019,TV-Y,1,0,2,1.1
Polly Pocket,2021,TV-Y,2,0,1,1.3
Survivor,2014,TV-14,2,0,1,1.3
The Crown,2020,TV-MA,4,1,3,3.1
American Horror Story,2019,TV-MA,9,1,3,5.6000000000000005
The Minions of Midas,2020,TV-MA,1,1,3,1.5999999999999999
Ethos,2020,TV-MA,1,1,2,1.3
Graceful Friends,2020,TV-MA,1,1,3,1.5999999999999999
A Queen Is Born,2020,TV-14,1,0,2,1.1
Aunty Donna's Big Ol' House of Fun,2020,TV-MA,1,1,1,1.0
The Liberator,2020,TV-MA,1,1,2,1.3
Trial 4,2020,TV-MA,1,1,2,1.3
A Lion in the House,2006,TV-14,1,0,1,0.8
DASH & LILY,2020,TV-14,1,0,3,1.4
Bakugan: Armored Alliance,2020,TV-Y7,1,0,2,1.1
Bakugan: Battle Planet,2018,TV-PG,1,0,2,1.1
Country Ever After,2020,TV-PG,1,0,1,0.8
Wrong Kind of Black,2018,TV-MA,1,1,3,1.5999999999999999
Carmel: Who Killed Maria Marta?,2020,TV-14,1,0,3,1.4
Paranormal,2020,TV-14,1,0,3,1.4
Love & Anarchy,2020,TV-MA,1,1,3,1.5999999999999999
Can You Hear Me?,2020,TV-MA,2,1,3,2.1
60 Days In,2019,TV-MA,1,1,1,1.0
Dawson's Creek,2002,TV-14,6,0,3,3.9
Forged in Fire,2019,TV-14,1,0,1,0.8
Leah Remini: Scientology and the Aftermath,2018,TV-14,3,0,1,1.8
LEGO Jurassic World: Legend of Isla Nublar,2019,TV-Y,1,0,1,0.8
LEGO Jurassic World: Secret Exhibit,2018,TV-Y,1,0,1,0.8
LEGO Ninjago,2020,TV-Y7,2,0,1,1.3
LEGO Ninjago: Masters of Spinjitzu,2019,TV-Y7,10,0,1,5.3
LEGO: CITY Adventures,2019,TV-Y,1,0,2,1.1
The Garfield Show,2018,TV-Y,4,0,2,2.6
The Good Detective,2020,TV-MA,1,1,3,1.5999999999999999
Voice,2018,TV-14,2,0,3,1.9
Afronta! Facing It!,2017,TV-PG,1,0,2,1.1
Zumbo's Just Desserts,2019,TV-PG,1,0,2,1.1
Kongsuni and Friends,2020,TV-Y,2,0,2,1.6
Marvel's Agents of S.H.I.E.L.D.,2020,TV-14,7,0,2,4.1
Somebody Feed Phil,2020,TV-14,4,0,2,2.6
Suburra: Blood on Rome,2020,TV-MA,3,1,3,2.6
Blood of Zeus,2020,TV-MA,1,1,1,1.0
Chico Bon Bon: Monkey with a Tool Belt,2020,TV-Y,4,0,1,2.3
The Devil Punisher,2020,TV-14,1,0,3,1.4
Barbarians,2020,TV-MA,1,1,3,1.5999999999999999
Move,2020,TV-MA,1,1,2,1.3
Stolen Away,2020,TV-MA,1,1,3,1.5999999999999999
The Queen's Gambit,2020,TV-MA,1,1,1,1.0
My Next Guest Needs No Introduction With David Letterman,2020,TV-MA,3,1,1,2.0
Unsolved Mysteries,2020,TV-MA,2,1,2,1.8
Start-Up,2020,TV-14,1,0,3,1.4
Grand Army,2020,TV-MA,1,1,2,1.3
La Révolution,2020,TV-MA,1,1,3,1.5999999999999999
Someone Has to Die,2020,TV-MA,1,1,3,1.5999999999999999
The Last Kids on Earth,2020,TV-Y7,3,0,2,2.1
Fireman Sam,2018,TV-Y,4,0,2,2.6
Half & Half,2005,TV-14,4,0,1,2.3
One on One,2006,TV-14,5,0,2,3.1
Power Rangers Beast Morphers,2020,TV-Y7,2,0,1,1.3
Social Distance,2020,TV-MA,1,1,2,1.3
The Cabin with Bert Kreischer,2020,TV-MA,1,1,2,1.3
Kipo and the Age of Wonderbeasts,2020,TV-Y7,3,0,2,2.1
Deaf U,2020,TV-MA,1,1,1,1.0
The Haunting of Bly Manor,2020,TV-MA,1,1,3,1.5999999999999999
Do Do Sol Sol La La Sol,2020,TV-14,1,0,3,1.4
Private Lives,2020,TV-14,1,0,3,1.4
The 100,2020,TV-MA,7,1,3,4.6000000000000005
To the Lake,2020,TV-MA,1,1,3,1.5999999999999999
Bad Boy Billionaires: India,2020,TV-14,1,0,3,1.4
Pat a Pat Como,2016,TV-Y,1,0,1,0.8
Qurious Como,2017,TV-Y,1,0,1,0.8
DreamWorks Happy Holidays from Madagascar,2005,TV-PG,1,0,2,1.1
Emily in Paris,2020,TV-MA,1,1,3,1.5999999999999999
H2O: Just Add Water,2009,TV-PG,3,0,2,2.1
Evil,2019,TV-14,1,0,1,0.8
Familiar Wife,2018,TV-MA,1,1,3,1.5999999999999999
Food Wars!: Shokugeki no Soma,2016,TV-MA,2,1,3,2.1
"Good Morning, Verônica",2020,TV-MA,1,1,3,1.5999999999999999
Journey of an African Colony,2018,TV-MA,1,1,2,1.3
Oktoberfest: Beer & Blood,2020,TV-MA,1,1,2,1.3
Secreto bien guardado,2019,TV-MA,1,1,3,1.5999999999999999
Sword Art Online,2018,TV-MA,3,1,2,2.3000000000000003
The Parkers,2003,TV-PG,5,0,1,2.8
The Unicorn,2019,TV-14,1,0,2,1.1
You Cannot Hide,2020,TV-MA,1,1,3,1.5999999999999999
Black Butler,2010,TV-MA,3,1,2,2.3000000000000003
Man with a Plan,2020,TV-PG,4,0,1,2.3
Wentworth,2020,TV-MA,8,1,2,4.8
"Whose Vote Counts, Explained",2020,TV-PG,1,0,1,0.8
Van Helsing,2019,TV-MA,4,1,3,3.1
The Good Place,2020,TV-14,4,0,1,2.3
A Perfect Crime,2020,TV-14,1,0,3,1.4
Mighty Little Bheem,2020,TV-Y,3,0,2,2.1
Sneakerheads,2020,TV-MA,1,1,1,1.0
The School Nurse Files,2020,TV-MA,1,1,3,1.5999999999999999
The Chef Show,2020,TV-MA,4,1,1,2.5
The Playbook,2020,TV-MA,1,1,1,1.0
Fukrey Boyzzz,2020,TV-Y,1,0,2,1.1
Ratched,2020,TV-MA,1,1,3,1.5999999999999999
The American Barbecue Showdown,2020,TV-G,1,0,1,0.8
The Blacklist,2019,TV-14,7,0,3,4.4
Dragon's Dogma,2020,TV-MA,1,1,2,1.3
The Last Word,2020,TV-MA,1,1,3,1.5999999999999999
Baby,2020,TV-MA,3,1,3,2.6
Challenger,2020,TV-14,1,0,2,1.1
Criminal: UK,2020,TV-MA,2,1,3,2.1
Signs,2020,TV-MA,2,1,3,2.1
Sing On!,2020,TV-PG,1,0,1,0.8
Call the Midwife,2020,TV-MA,9,1,3,5.6000000000000005
Taco Chronicles,2020,TV-MA,2,1,3,2.1
Buddi,2020,TV-Y,2,0,2,1.6
Family Business,2020,TV-MA,2,1,3,2.1
Girlfriends,2007,TV-14,8,0,1,4.3
The Barrier,2020,TV-MA,1,1,3,1.5999999999999999
The Duchess,2020,TV-MA,1,1,3,1.5999999999999999
Greenleaf,2020,TV-14,5,0,1,2.8
Julie and the Phantoms,2020,TV-G,1,0,2,1.1
Get Organized with The Home Edit,2020,TV-PG,1,0,1,0.8
La Línea: Shadow of Narco,2020,TV-MA,1,1,3,1.5999999999999999
Record of Youth,2020,TV-14,1,0,3,1.4
Transformers: Cyberverse,2020,TV-Y7,2,0,1,1.3
Cleverman,2017,TV-MA,1,1,3,1.5999999999999999
Away,2020,TV-14,1,0,3,1.4
Spirit Riding Free: Riding Academy,2020,TV-Y7,2,0,1,1.3
Young Wallander,2020,TV-MA,1,1,3,1.5999999999999999
Chef's Table: BBQ,2020,TV-14,1,0,2,1.1
The Witcher: A Look Inside the Episodes,2020,TV-MA,1,1,2,1.3
Blue Exorcist,2017,TV-MA,2,1,2,1.8
Bookmarks,2020,TV-Y,1,0,1,0.8
Borgen,2012,TV-MA,3,1,2,2.3000000000000003
Erased,2016,TV-14,1,0,3,1.4
Felipe Esparza: Bad Decisions,2020,TV-MA,1,1,2,1.3
H,2002,TV-MA,4,1,2,2.8000000000000003
Heidi,2020,TV-Y7,1,0,1,0.8
"Sister, Sister",1998,TV-PG,6,0,2,3.6
The Promised Neverland,2019,TV-14,1,0,3,1.4
Thomas and Friends,2020,TV-Y,2,0,3,1.9
I AM A KILLER: RELEASED,2020,TV-MA,1,1,3,1.5999999999999999
Masaba Masaba,2020,TV-MA,1,1,3,1.5999999999999999
Aggretsuko,2020,TV-14,3,0,2,2.1
Her Mother's Killer,2020,TV-MA,1,1,3,1.5999999999999999
Million Dollar Beach House,2020,TV-MA,1,1,1,1.0
Emily's Wonder Lab,2020,TV-Y,1,0,1,0.8
Trinkets,2020,TV-MA,2,1,2,1.8
Baewatch: Parental Guidance,2019,TV-MA,1,1,3,1.5999999999999999
Ojos in d' House,2013,TV-G,1,0,2,1.1
Hoops,2020,TV-MA,1,1,1,1.0
Rust Valley Restorers,2020,TV-14,3,0,2,2.1
Goedam,2020,TV-MA,1,1,3,1.5999999999999999
DeMarcus Family Rules,2020,TV-14,1,0,1,0.8
High Score,2020,TV-14,1,0,2,1.1
Glitch Techs,2020,TV-Y7,2,0,1,1.3
Stranger,2020,TV-MA,2,1,3,2.1
Dérè: An African Tale,2016,TV-PG,1,0,3,1.4
Rita,2020,TV-MA,5,1,3,3.6
Takki,2014,TV-14,2,0,2,1.6
3%,2020,TV-MA,4,1,3,3.1
Teenage Bounty Hunters,2020,TV-MA,1,1,3,1.5999999999999999
The Great Heist,2020,TV-MA,1,1,3,1.5999999999999999
The Legend of Korra,2014,TV-Y7,4,0,3,2.9
Zoids Wild,2018,TV-Y7,1,0,2,1.1
(Un)Well,2020,TV-MA,1,1,1,1.0
GAME ON: A Comedy Crossover Event,2020,TV-G,1,0,2,1.1
Terrace House: Tokyo 2019-2020,2019,TV-MA,2,1,2,1.8
The Governor,2016,TV-14,1,0,2,1.1
High Seas,2020,TV-MA,3,1,3,2.6
Selling Sunset,2020,TV-MA,3,1,1,2.0
Sing On! Germany,2020,TV-PG,1,0,2,1.1
Tiny Creatures,2020,TV-PG,1,0,3,1.4
Wizards: Tales of Arcadia,2020,TV-Y7,1,0,3,1.4
Word Party Songs,2020,TV-Y,1,0,1,0.8
Ever After High,2016,TV-Y7,5,0,1,2.8
The Rain,2020,TV-MA,3,1,3,2.6
World's Most Wanted,2020,TV-14,1,0,3,1.4
Mystery Lab,2020,TV-PG,1,0,3,1.4
Immigration Nation,2020,TV-MA,1,1,1,1.0
Moesha,2000,TV-PG,6,0,2,3.6
My Perfect Landing,2020,TV-G,1,0,1,0.8
Nagi-Asu: A Lull in the Sea,2014,TV-14,1,0,3,1.4
The Next Step,2018,TV-G,1,0,3,1.4
Toradora!,2008,TV-14,1,0,3,1.4
Transformers Rescue Bots Academy,2020,TV-Y,2,0,1,1.3
Get Even,2020,TV-PG,1,0,3,1.4
Sugar Rush,2020,TV-PG,3,0,1,1.8
The Umbrella Academy,2020,TV-14,2,0,3,1.9
Transformers: War For Cybertron Trilogy,2020,TV-Y7,1,0,1,0.8
Unlucky Ploy,2020,TV-MA,1,1,3,1.5999999999999999
Last Chance U,2020,TV-MA,5,1,1,3.0
Shameless (U.S.),2019,TV-MA,10,1,2,5.8
Sing On! Spain,2020,TV-G,1,0,3,1.4
Sinatra: All or Nothing at All,2015,TV-14,1,0,1,0.8
Fear City: New York vs The Mafia,2020,TV-MA,1,1,2,1.3
Norsemen,2020,TV-MA,3,1,2,2.3000000000000003
Street Food: Latin America,2020,TV-PG,1,0,2,1.1
Killer Women with Piers Morgan,2017,TV-MA,1,1,3,1.5999999999999999
Gigantosaurus,2019,TV-Y,1,0,1,0.8
Single Wives,2018,TV-MA,1,1,2,1.3
Cursed,2020,TV-MA,1,1,3,1.5999999999999999
In The Dark,2020,TV-14,2,0,2,1.6
Kissing Game,2020,TV-MA,1,1,3,1.5999999999999999
Dark Desire,2020,TV-MA,1,1,3,1.5999999999999999
Skin Decision: Before and After,2020,TV-MA,1,1,2,1.3
Sunny Bunnies,2016,TV-Y,2,0,3,1.9
The Business of Drugs,2020,TV-MA,1,1,1,1.0
Dating Around: Brazil,2020,TV-14,1,0,3,1.4
Down to Earth with Zac Efron,2020,TV-PG,1,0,3,1.4
The Epic Tales of Captain Underpants in Space,2020,TV-Y7,1,0,3,1.4
The Twelve,2019,TV-MA,1,1,3,1.5999999999999999
Japan Sinks: 2020,2020,TV-MA,1,1,2,1.3
The Protector,2020,TV-MA,4,1,3,3.1
Was It Love?,2020,TV-14,1,0,3,1.4
Stateless,2020,TV-MA,1,1,2,1.3
Hook,2020,TV-MA,1,1,3,1.5999999999999999
Little Singham,2020,TV-Y7,2,0,2,1.6
Cable Girls,2019,TV-MA,6,1,3,4.1
JU-ON: Origins,2020,TV-MA,1,1,3,1.5999999999999999
Southern Survival,2020,TV-PG,1,0,1,0.8
The Baby-Sitters Club,2020,TV-G,1,0,2,1.1
Supermarket Sweep,1993,TV-G,1,0,1,0.8
Warrior Nun,2020,TV-MA,1,1,3,1.5999999999999999
21 Again,2019,TV-MA,1,1,2,1.3
A Touch of Green,2016,TV-MA,1,1,2,1.3
Abby Hatcher,2019,TV-Y,1,0,1,0.8
Say I Do,2020,TV-14,1,0,2,1.1
Trotro,2004,TV-Y,1,0,1,0.8
BNA,2020,TV-14,1,0,2,1.1
Homemade,2020,TV-MA,1,1,2,1.3
Dark,2020,TV-MA,3,1,3,2.6
All For Love,2020,TV-MA,1,1,3,1.5999999999999999
Home Game,2020,TV-MA,1,1,1,1.0
Twogether,2020,TV-G,1,0,3,1.4
Crazy Delicious,2020,TV-PG,1,0,3,1.4
"Roswell, New Mexico",2020,TV-14,2,0,3,1.9
It's Okay to Not Be Okay,2020,TV-MA,1,1,3,1.5999999999999999
Babies,2020,TV-14,2,0,2,1.6
Floor Is Lava,2020,TV-PG,1,0,1,0.8
Most Beautiful Thing,2020,TV-MA,2,1,3,2.1
The Politician,2020,TV-MA,2,1,3,2.1
The Order,2020,TV-MA,2,1,3,2.1
The Chase,2015,TV-PG,2,0,1,1.3
Alexa & Katie,2020,TV-G,4,0,2,2.6
How to Get Away with Murder,2020,TV-14,6,0,3,3.9
Dating Around,2020,TV-MA,2,1,2,1.8
F is for Family,2020,TV-MA,4,1,1,2.5
Frank Elstner: Just One Last Question,2020,TV-MA,1,1,2,1.3
ONE PIECE,2002,TV-14,4,0,1,2.3
The Search,2020,TV-MA,1,1,3,1.5999999999999999
The Woods,2020,TV-MA,1,1,3,1.5999999999999999
Curon,2020,TV-MA,1,1,3,1.5999999999999999
DC's Legends of Tomorrow,2020,TV-14,5,0,2,3.1
Lenox Hill,2020,TV-MA,1,1,3,1.5999999999999999
My Mister,2018,TV-MA,1,1,3,1.5999999999999999
Reality Z,2020,TV-MA,1,1,3,1.5999999999999999
Queen of the South,2018,TV-MA,4,1,3,3.1
13 Reasons Why,2020,TV-MA,4,1,3,3.1
Queer Eye,2020,TV-14,5,0,1,2.8
Supernatural,2019,TV-14,15,0,3,8.4
BAKI,2020,TV-MA,3,1,2,2.3000000000000003
Alone,2019,TV-14,1,0,1,0.8
Cardcaptor Sakura,1999,TV-Y7,2,0,2,1.6
Dear My Friends,2016,TV-MA,1,1,3,1.5999999999999999
Megalobox,2018,TV-MA,1,1,2,1.3
Midnight Diner,2014,TV-MA,3,1,2,2.3000000000000003
My Shy Boss,2017,TV-MA,1,1,3,1.5999999999999999
Revolutionary Love,2017,TV-MA,1,1,3,1.5999999999999999
Space Force,2020,TV-MA,1,1,1,1.0
"Can't Cope, Won't Cope",2018,TV-MA,2,1,2,1.8
Dorohedoro,2020,TV-MA,1,1,2,1.3
Mako Mermaids: An H2O Adventure,2016,TV-G,4,0,2,2.6
Supergirl,2019,TV-14,5,0,2,3.1
Betaal,2020,TV-MA,1,1,3,1.5999999999999999
Dynasty,2019,TV-14,3,0,1,1.8
History 101,2020,TV-14,1,0,3,1.4
Trailer Park Boys: The Animated Series,2020,TV-MA,2,1,1,1.5
Mystic Pop-up Bar,2020,TV-MA,1,1,3,1.5999999999999999
Especial 20 años Fútbol de Primera,2020,TV-14,1,0,3,1.4
The Queen and the Conqueror,2020,TV-14,1,0,3,1.4
Patton Oswalt: I Love Everything,2020,TV-MA,1,1,2,1.3
Sweet Magnolias,2020,TV-14,1,0,2,1.1
The Big Flower Fight,2020,TV-PG,1,0,3,1.4
Patriot Act with Hasan Minhaj,2020,TV-MA,6,1,2,3.8000000000000003
Boys Over Flowers,2009,TV-14,1,0,3,1.4
Iris,2009,TV-14,1,0,3,1.4
Avatar: The Last Airbender,2007,TV-Y7,3,0,3,2.4
Inhuman Resources,2020,TV-MA,1,1,3,1.5999999999999999
Madam Secretary,2019,TV-PG,6,0,1,3.3
Magic for Humans,2020,TV-14,3,0,2,2.1
Parasyte: The Maxim,2014,TV-MA,1,1,3,1.5999999999999999
She-Ra and the Princesses of Power,2020,TV-Y7,5,0,3,3.4
Sleepless Society: Two Pillows & A Lost Soul,2020,TV-MA,1,1,3,1.5999999999999999
Strangers from Hell,2019,TV-MA,1,1,3,1.5999999999999999
The Wiggles,2015,TV-Y,2,0,1,1.3
White Lines,2020,TV-MA,1,1,3,1.5999999999999999
True: Terrific Tales,2020,TV-Y,1,0,1,0.8
Bordertown,2019,TV-MA,3,1,3,2.6
Trial By Media,2020,TV-MA,1,1,2,1.3
Dead to Me,2020,TV-MA,2,1,2,1.8
Restaurants on the Edge,2020,TV-14,2,0,2,1.6
The Eddy,2020,TV-MA,1,1,2,1.3
The Hollow,2020,TV-Y7,2,0,2,1.6
Scissor Seven,2020,TV-MA,2,1,3,2.1
Almost Happy,2020,TV-MA,1,1,3,1.5999999999999999
Hangar 1: The UFO Files,2015,TV-PG,1,0,1,0.8
Hoarders,2020,TV-PG,1,0,1,0.8
The Universe: Ancient Mysteries Solved,2015,TV-PG,1,0,2,1.1
WWII in HD,2009,TV-14,1,0,1,0.8
Hollywood,2020,TV-MA,1,1,1,1.0
Masha and the Bear,2019,TV-Y,4,0,1,2.3
Medici: Masters of Florence,2019,TV-MA,3,1,2,2.3000000000000003
Monthly Girls' Nozaki Kun,2014,TV-PG,1,0,2,1.1
Oh Yuck,2020,TV-G,1,0,2,1.1
Reckoning,2019,TV-MA,1,1,3,1.5999999999999999
DRIFTING DRAGONS,2020,TV-14,1,0,2,1.1
El señor de los Cielos,2019,TV-MA,7,1,3,4.6000000000000005
Good Witch,2019,TV-PG,5,0,2,3.1
The Forest of Love: Deep Cut,2020,TV-MA,1,1,3,1.5999999999999999
The Victims' Game,2020,TV-MA,1,1,3,1.5999999999999999
Extracurricular,2020,TV-MA,1,1,3,1.5999999999999999
Nadiya’s Time to Eat,2020,TV-G,1,0,3,1.4
Tjovitjo,2017,TV-MA,2,1,2,1.8
"Coronavirus, Explained",2020,TV-PG,1,0,2,1.1
The Last Kingdom,2020,TV-MA,4,1,3,3.1
My Secret Romance,2017,TV-14,1,0,3,1.4
دفعة القاهرة,2019,TV-14,1,0,2,1.1
After Life,2020,TV-MA,2,1,3,2.1
DreamWorks Spooky Stories: Volume 2,2011,TV-PG,1,0,2,1.1
Love 101,2020,TV-MA,1,1,3,1.5999999999999999
Ghost in the Shell: SAC_2045,2020,TV-14,1,0,3,1.4
The House of Flowers,2020,TV-MA,3,1,3,2.6
Absurd Planet,2020,TV-PG,1,0,3,1.4
Win the Wilderness,2020,TV-14,1,0,3,1.4
Bleach,2006,TV-14,5,0,2,3.1
Middleditch & Schwartz,2020,TV-MA,1,1,1,1.0
Nicky Jam: El Ganador,2018,TV-MA,1,1,3,1.5999999999999999
Cooked with Cannabis,2020,TV-MA,1,1,1,1.0
The Midnight Gospel,2020,TV-MA,1,1,1,1.0
ChuChu TV Nursery Rhymes & Kids Songs (Hindi),2019,TV-Y,1,0,1,0.8
The King: Eternal Monarch,2020,TV-14,1,0,3,1.4
#blackAF,2020,TV-MA,1,1,1,1.0
El Dragón: Return of a Warrior,2020,TV-MA,2,1,3,2.1
Hasmukh,2020,TV-MA,1,1,3,1.5999999999999999
Fary : Hexagone,2020,TV-MA,2,1,3,2.1
Fauda,2020,TV-MA,3,1,3,2.6
The Innocence Files,2020,TV-MA,1,1,2,1.3
Brews Brothers,2020,TV-MA,1,1,1,1.0
The Trial,2019,TV-MA,1,1,3,1.5999999999999999
Hi Score Girl,2019,TV-14,2,0,3,1.9
The Circle France,2020,TV-MA,1,1,2,1.3
El Reemplazante,2013,TV-MA,2,1,3,2.1
Legacies,2019,TV-14,2,0,3,1.9
Community,2015,TV-14,6,0,1,3.3
How to Fix a Drug Scandal,2020,TV-MA,1,1,2,1.3
Man Like Mobeen,2020,TV-MA,3,1,3,2.6
Pokémon the Series,2019,TV-Y7,3,0,2,2.1
Saint Seiya,1986,TV-14,6,0,1,3.3
Sunderland 'Til I Die,2020,TV-MA,2,1,3,2.1
The Iliza Shlesinger Sketch Show,2020,TV-MA,1,1,1,1.0
The Windsors,2020,TV-MA,3,1,3,2.6
Well-Intended Love,2020,TV-14,2,0,3,1.9
Akbar Birbal,2019,TV-G,1,0,3,1.4
Bal Ganesh,2019,TV-Y7,1,0,1,0.8
Tree House Tales,2019,TV-Y,1,0,1,0.8
Rugal,2020,TV-MA,1,1,3,1.5999999999999999
Happy!,2019,TV-MA,2,1,3,2.1
Ladies Up,2019,TV-MA,1,1,3,1.5999999999999999
Ozark,2020,TV-MA,3,1,3,2.6
Wassup Man GO!,2020,TV-MA,1,1,3,1.5999999999999999
7SEEDS,2020,TV-MA,2,1,2,1.8
Unorthodox,2020,TV-MA,1,1,2,1.3
Freud,2020,TV-MA,1,1,3,1.5999999999999999
J-Style Trip,2020,TV-14,1,0,2,1.1
Barbie Dreamhouse Adventures: Go Team Roberts,2020,TV-Y,2,0,1,1.3
Archibald's Next Big Thing,2020,TV-Y7,2,0,2,1.6
Dino Girl Gauko,2020,TV-Y7,2,0,2,1.6
Greenhouse Academy,2020,TV-PG,4,0,3,2.9
Self Made: Inspired by the Life of Madam C.J. Walker,2020,TV-MA,1,1,1,1.0
She,2020,TV-MA,1,1,3,1.5999999999999999
The English Game,2020,TV-14,1,0,3,1.4
The Letter for the King,2020,TV-PG,1,0,3,1.4
"Tiger King: Murder, Mayhem and Madness",2020,TV-MA,1,1,2,1.3
Vampires,2020,TV-MA,1,1,3,1.5999999999999999
Caliphate,2020,TV-MA,1,1,2,1.3
Women Of The Night,2019,TV-MA,1,1,3,1.5999999999999999
Shaun the Sheep: Adventures from Mossy Bottom,2020,TV-Y7,1,0,3,1.4
We Speak Dance,2018,TV-MA,1,1,1,1.0
Ken Burns Presents: College Behind Bars: A Film by Lynn Novick and Produced by Sarah Botstein,2019,TV-MA,1,1,1,1.0
100 Humans,2020,TV-14,1,0,2,1.1
Bloodride,2020,TV-MA,1,1,3,1.5999999999999999
Kingdom,2020,TV-MA,2,1,3,2.1
The Valhalla Murders,2020,TV-MA,1,1,3,1.5999999999999999
Dirty Money,2020,TV-MA,2,1,2,1.8
On My Block,2020,TV-14,3,0,3,2.4
The Circle Brazil,2020,TV-MA,1,1,2,1.3
Ugly Delicious,2020,TV-MA,2,1,1,1.5
Mighty Little Bheem: Festival of Colors,2020,TV-Y,1,0,2,1.1
Velvet,2016,TV-14,4,0,3,2.9
Akame ga Kill!,2014,TV-14,1,0,3,1.4
Babylon Berlin,2020,TV-MA,3,1,3,2.6
Calico Critters Mini Episodes Clover,2020,TV-Y,1,0,1,0.8
Always a Witch,2019,TV-14,2,0,3,1.9
Queen Sono,2020,TV-MA,1,1,3,1.5999999999999999
Toy Boy,2019,TV-MA,1,1,3,1.5999999999999999
Unstoppable,2020,TV-MA,1,1,3,1.5999999999999999
Altered Carbon,2020,TV-MA,2,1,3,2.1
Followers,2020,TV-MA,1,1,2,1.3
Six Windows in the Desert,2020,TV-14,1,0,1,0.8
I Am Not Okay With This,2020,TV-MA,1,1,3,1.5999999999999999
The Trials of Gabriel Fernandez,2020,TV-MA,1,1,2,1.3
"Hi Bye, Mama!",2020,TV-14,1,0,3,1.4
Unabomber - In His Own Words,2018,TV-MA,1,1,2,1.3
Gentefied,2020,TV-MA,1,1,2,1.3
Hyena,2020,TV-MA,1,1,3,1.5999999999999999
Passion. Panache. Pep,2020,TV-G,1,0,2,1.1
Puerta 7,2020,TV-MA,1,1,3,1.5999999999999999
Spectros,2020,TV-MA,1,1,3,1.5999999999999999
DreamWorks Shrek's Swamp Stories,2008,TV-PG,1,0,3,1.4
On the Real,2017,TV-MA,1,1,2,1.3
Talking Tom and Friends,2017,TV-Y,1,0,2,1.1
Taj Mahal 1989,2020,TV-MA,1,1,3,1.5999999999999999
Love Is Blind,2021,TV-MA,1,1,2,1.3
Narcos: Mexico,2020,TV-MA,2,1,3,2.1
Palazuelos mi rey,2019,TV-14,1,0,3,1.4
Sleepless Society: Insomnia,2019,TV-MA,1,1,3,1.5999999999999999
We Bare Bears,2018,TV-Y,2,0,2,1.6
Better Call Saul,2018,TV-MA,4,1,3,3.1
Dragons: Rescue Riders,2020,TV-Y,2,0,2,1.6
Fifty: The Series,2018,TV-14,2,0,3,1.9
Locke & Key,2020,TV-14,1,0,3,1.4
My Holo Love,2020,TV-14,1,0,3,1.4
Who Killed Malcolm X?,2020,TV-MA,1,1,2,1.3
